Hotel,Count,Business,Leisure
Barcel Sants,439,49,390
Attica 21 Barcelona Mar,109,10,99
Hotel America Barcelona,28,1,27
Catalonia Park Putxet,274,23,251
Hotel Murmuri Barcelona,42,4,38
NH Collection Barcelona Gran Hotel Calder n,99,9,90
H10 Metropolitan 4 Sup,232,18,214
HCC Regente,37,4,33
Barcel Raval,355,19,336
Le M ridien Barcelona,49,3,46
Ilunion Barcelona,334,41,293
Catalonia Born,218,22,196
The Wittmore Adults Only,50,3,47
Hotel mbit Barcelona,170,16,154
Catalonia Eixample 1864,269,27,242
Negresco Princess 4 Sup,319,20,299
Petit Palace Barcelona,90,0,90
Roger de Ll ria,63,9,54
Hotel Garbi Millenni,41,0,41
Vincci Gala,79,5,74
Catalonia Square 4 Sup,179,18,161
H10 Universitat,153,12,141
Bcn Urban Hotels Gran Rosellon,222,30,192
Gallery Hotel,123,10,113
Hotel Omm,56,4,52
Ayre Hotel Rosell n,280,16,264
Evenia Rossello,49,3,46
Catalonia Rigoletto,142,35,107
Hotel Neri,34,2,32
Capri by Fraser Barcelona,306,19,287
Hotel Espa a Ramblas,366,15,351
Abba Garden,91,27,64
Zenit Barcelona,48,3,45
Hotel Advance,12,1,11
NH Barcelona Stadium,87,14,73
Mercure Barcelona Condor,25,5,20
H10 Cubik 4 Sup,179,18,161
Sunotel Club Central,225,18,207
Hotel Balmoral,84,8,76
Exe Laietana Palace,238,22,216
Grand Hotel Central,167,6,161
Ilunion Almirante,146,17,129
Ohla Barcelona,218,13,205
Barcelona Hotel Colonial,38,6,32
Hotel Vilamar ,103,14,89
Vilana Hotel,27,9,18
Acevi Villarroel,218,33,185
total,,3253,29175
